keyword,before,after
"['black', 'genocide']",0.10056841373443604,0.15285956859588623
"['black', 'immune']",0.09962059557437897,0.16160151362419128
"['black', 'immunity']",0.0712803527712822,0.030212529003620148
"['black', 'inoculated']",9.0,-0.009113678708672523
"['black', 'depopulate']",0.03705006465315819,-0.07725747674703598
"['black', 'depopulation']",0.1472916305065155,-0.051921743899583817
"['black', 'vitamin']",0.049846310168504715,0.06412049382925034
"['black', 'vit']",0.05391908437013626,0.04405662417411804
"['black', 'zinc']",0.006047640927135944,-0.07504329830408096
"['black', 'supplements']",0.03687892109155655,0.027995282784104347
"['black', 'garlic']",0.1055140346288681,0.0887005627155304
"['black', 'water']",-0.008001871407032013,0.10316024720668793
"['black', 'colloid']",9.0,9.0
"['black', 'vaccine']",-0.036734603345394135,-0.053517185151576996
"['black', 'vaccinate']",0.12577924132347107,0.021932192146778107
"['black', 'vaccination']",0.03039458394050598,-0.04739750176668167
"['africa', 'genocide']",0.13330522179603577,0.028137467801570892
"['africa', 'immune']",0.13642293214797974,0.037907905876636505
"['africa', 'immunity']",0.04316015541553497,0.04707097262144089
"['africa', 'inoculated']",9.0,0.026363618671894073
"['africa', 'depopulate']",0.1196865439414978,0.06736038625240326
"['africa', 'depopulation']",0.009676441550254822,0.09702970087528229
"['africa', 'vitamin']",-0.04120668023824692,0.05146481841802597
"['africa', 'vit']",0.0573803186416626,-0.03975564241409302
"['africa', 'zinc']",-0.007285982370376587,-0.016616616398096085
"['africa', 'supplements']",0.027742985635995865,0.0553869754076004
"['africa', 'garlic']",-0.035747066140174866,0.10682238638401031
"['africa', 'water']",-0.035266976803541183,0.022101789712905884
"['africa', 'colloid']",9.0,9.0
"['africa', 'vaccine']",0.03248460218310356,0.18291234970092773
"['africa', 'vaccinate']",0.036922015249729156,0.13741052150726318
"['africa', 'vaccination']",-0.014890028163790703,0.24725615978240967
"['african', 'genocide']",0.14973752200603485,0.08034207671880722
"['african', 'immune']",0.06438034772872925,0.09612862765789032
"['african', 'immunity']",0.019242137670516968,-0.018378108739852905
"['african', 'inoculated']",9.0,-0.0572943389415741
"['african', 'depopulate']",0.07905158400535583,-0.07506031543016434
"['african', 'depopulation']",-0.06668931245803833,-0.08229456841945648
"['african', 'vitamin']",-0.001432865858078003,0.05629846826195717
"['african', 'vit']",-0.024697281420230865,-0.051487844437360764
"['african', 'zinc']",-0.030806101858615875,-0.031092869117856026
"['african', 'supplements']",-0.06171759217977524,0.022506188601255417
"['african', 'garlic']",-0.021693289279937744,0.009445893578231335
"['african', 'water']",-0.03779103606939316,0.02449522167444229
"['african', 'colloid']",9.0,9.0
"['african', 'vaccine']",-0.03601278364658356,-0.05297507718205452
"['african', 'vaccinate']",0.13284626603126526,-0.012764673680067062
"['african', 'vaccination']",0.09917329996824265,-0.0008488241583108902
"['melanin', 'genocide']",0.10680824518203735,0.048540402203798294
"['melanin', 'immune']",0.24353846907615662,0.17920218408107758
"['melanin', 'immunity']",0.15653610229492188,0.041499167680740356
"['melanin', 'inoculated']",9.0,0.07937552034854889
"['melanin', 'depopulate']",0.09157401323318481,0.040669914335012436
"['melanin', 'depopulation']",0.03320807218551636,0.09931323677301407
"['melanin', 'vitamin']",0.056323252618312836,0.2018580436706543
"['melanin', 'vit']",0.04444723576307297,0.22038382291793823
"['melanin', 'zinc']",0.018942326307296753,0.03547894209623337
"['melanin', 'supplements']",0.046690694987773895,0.26136451959609985
"['melanin', 'garlic']",0.10161266475915909,0.20882046222686768
"['melanin', 'water']",0.09262699633836746,0.13164395093917847
"['melanin', 'colloid']",9.0,9.0
"['melanin', 'vaccine']",0.150152325630188,-0.04082769900560379
"['melanin', 'vaccinate']",-0.012920943088829517,0.04699154943227768
"['melanin', 'vaccination']",0.009755965322256088,0.13650572299957275
"['poc', 'genocide']",0.0892273485660553,0.1502804011106491
"['poc', 'immune']",0.021053258329629898,0.16609737277030945
"['poc', 'immunity']",0.08701059967279434,0.034238964319229126
"['poc', 'inoculated']",9.0,-0.01911114528775215
"['poc', 'depopulate']",-0.07485740631818771,-0.04881846904754639
"['poc', 'depopulation']",0.08282333612442017,-0.08074003458023071
"['poc', 'vitamin']",-0.06067105382680893,0.1031230092048645
"['poc', 'vit']",0.0626097023487091,0.15335527062416077
"['poc', 'zinc']",-0.029447808861732483,-0.04198024421930313
"['poc', 'supplements']",0.0784236416220665,0.10739398002624512
"['poc', 'garlic']",0.0630892887711525,-0.02644338272511959
"['poc', 'water']",-0.010868119075894356,0.06182827055454254
"['poc', 'colloid']",9.0,9.0
"['poc', 'vaccine']",-0.13294753432273865,0.03165346384048462
"['poc', 'vaccinate']",0.09578683972358704,0.04919442534446716
"['poc', 'vaccination']",0.052539095282554626,0.1305692195892334
