jan24-mar10,jan24-mar10_freq,mar11-may25,mar11-may25_freq
covid19,404078,covid19,2423342
â,88066,â,659572
it,82969,it,499828
i,74183,you,463036
trump,66648,we,456632
ð,64641,i,453259
you,60941,ð,403371
people,57532,trump,396656
we,55914,he,287890
health,39702,people,282793
they,39145,amp,273118
amp,36588,they,246722
he,35021,our,233818
us,34835,new,201085
outbreak,31635,his,199484
virus,31511,us,198324
china,31072,pandemic,192012
your,29107,my,191752
cases,28578,their,178110
our,26736,your,171470
his,24983,cases,150889
get,24020,president,144348
president,23661,health,144043
new,23050,one,141088
like,22677,1,140379
one,21235,get,136659
my,20328,like,125503
spread,19929,000,117846
their,19747,virus,113102
breaking,19084,me,111985
1,18676,need,110342
cdc,18629,deaths,109003
public,18418,testing,108668
response,17723,help,107557
said,16429,time,107257
me,16332,says,105754
flu,16093,home,102753
2,15816,china,102579
realdonaldtrump,15516,today,100815
state,15440,2,99870
u,15392,response,98524
says,15342,americans,96803
americans,15314,positive,95426
would,15123,said,93030
first,14954,crisis,90350
need,14842,state,89563
testing,14342,would,89047
tested,13845,news,88787
3,13581,tested,88605
pandemic,13459,know,87255
world,12835,day,87238
know,12707,them,86868
news,12689,breaking,86180
today,12675,u,85711
media,12638,world,84536
itâ,12486,realdonaldtrump,83898
them,12442,via,83354
stop,12270,iâ,81997
iâ,12182,3,81948
chinese,12167,spread,81847
work,12063,first,80638
sick,11999,itâ,79850
going,11796,due,78925
wuhan,11771,take,78204
time,11733,house,76609
000,11605,many,75551
could,11565,please,74810
right,11478,going,74541
case,11414,workers,74341
confirmed,11395,public,74289
officials,11375,go,73109
many,11231,could,72669
home,11230,stay,72226
hands,11173,she,70810
due,11169,her,70229
test,11082,states,69754
via,11070,test,69393
panic,11010,right,68135
go,10685,its,67744
say,10357,make,67655
american,10231,outbreak,67575
administration,10189,death,67250
its,10128,work,67164
emergency,10001,every,66942
way,9943,country,66270
care,9869,care,65941
think,9785,even,65676
she,9762,patients,64201
country,9760,million,64159
death,9729,may,64078
help,9707,him,63754
risk,9371,ï,63408
donâ,9365,died,62512
take,9329,back,62504
quarantine,9323,week,61142
italy,9276,america,60262
pence,9184,days,59754
deaths,9037,dr,59631
house,9028,american,59475
disease,8979,want,59039
died,8978,still,58831
see,8873,medical,58481
ï,8871,bill,58117
positive,8843,donâ,56712
vaccine,8741,4,56458
infected,8697,white,56130
make,8626,say,54605
government,8596,see,54520
even,8565,government,53829
may,8464,weeks,53569
days,8457,stop,52918
travel,8400,last,52551
global,8398,media,52217
day,8359,5,51881
still,8265,everyone,51685
last,8261,two,51143
protect,8103,lives,50791
good,8076,think,49678
washington,8056,live,49537
also,8015,relief,49137
white,7907,good,49065
democrats,7906,tests,49038
hoax,7899,social,48618
everyone,7875,hospital,48518
two,7871,also,47722
really,7845,must,47539
him,7760,sick,46979
want,7707,keep,46931
market,7698,let,46671
county,7663,way,46457
her,7569,free,45024
man,7517,york,45018
stay,7456,working,44758
crisis,7423,fight,44573
states,7229,press,44131
control,7213,county,43972
america,7202,year,43543
must,7156,support,43282
year,7092,chinese,43122
person,7041,got,42138
number,7020,force,41870
much,7000,march,41607
medical,6991,briefing,40850
week,6924,getting,40624
got,6865,well,40547
patients,6864,emergency,40440
wash,6770,order,40431
back,6759,much,40228
economy,6744,number,39832
getting,6740,federal,39672
tests,6726,weâ,39576
working,6593,next,39276
symptoms,6559,really,39276
every,6533,democrats,39193
5,6514,life,39161
keep,6505,administration,38568
since,6499,read,38506
4,6369,confirmed,38172
made,6300,watch,38162
funding,6274,update,38130
reported,6221,doctors,38012
stock,6130,10,37926
youâ,6081,around,37744
free,6057,masks,37620
experts,6018,call,37543
around,5998,symptoms,37496
die,5935,fauci,37374
countries,5906,never,37203
dr,5902,die,37145
please,5853,use,37104
spreading,5849,city,36992
patient,5785,told,36942
told,5775,task,36813
workers,5755,6,36784
update,5746,since,36486
border,5735,cdc,36461
plan,5576,times,36325
hospital,5550,flu,36218
live,5540,trumpâ,35816
let,5518,economy,35608
well,5517,thank,35398
weeks,5505,100,35159
self,5414,distancing,35097
without,5380,w,34937
united,5327,officials,34823
already,5290,made,34666
trying,5286,needs,34496
iran,5241,without,34448
million,5227,great,34423
far,5194,national,34203
california,5191,quarantine,34093
rate,5169,family,34025
information,5154,2020,33715
press,5141,risk,33510
put,5103,trying,33375
ago,5068,gov,33083
fact,4966,safe,32851
novel,4965,end,32767
force,4935,vaccine,32708
community,4914,face,32590
