words,type,type2
attack,war,war
Battle,war,war
battleground,war,war
Combat,war,war
defend,war,war
defense,war,war
defence,war,war
Fight,war,war
fighter,war,war
Front,war,war
frontline,war,war
Gun,war,war
Military,war,war
Militarily,war,war
militarized,war,war
Target,war,war
War,war,war
Warfare,war,war
Warrior,war,war
Wartime,war,war
warzone,war,war
Weapon,war,war
5G,misinfo,cause
Radiation,misinfo,cause
Electromagnet,misinfo,cause
Bleach,misinfo,prevention
Disinfectant,misinfo,prevention
dryer,misinfo,prevention
silver,misinfo,treatment
Lysol,misinfo,treatment
Chlorine,misinfo,treatment
Hydroxychloroquine,misinfo,treatment
covid19,covid,covid
